Step,Changes,Fire_Safety_Index,Max_Temperature,CO_Concentration,Oxygen_Consumed,Total_Smoke
0,6,97.23,39.770742500000004,20.0,0.011999999999999981,0.77
1,10,89.6432,56.994475233314894,80.0,0.03594666666666642,2.3568000000000002
2,14,77.0863072,73.40301144092338,180.0,0.07439487999999951,4.913692800000001
3,24,59.41014917119999,91.05007750690184,320.0000000000001,0.12983084714666562,8.5898508288
4,37,29.36027054571518,109.7321128561071,560.0000000000001,0.22066215757141142,14.639729454284803
5,46,0,130.10637954793657,929.9999999999999,0.3611281526992046,23.99268916195246
6,58,0,152.14555878287686,1389.9999999999998,0.5485683018828674,36.38909811297229
7,69,0,175.83077244822323,1970.0,0.7961101778589984,52.691610671540275
8,85,0,201.14179506137035,2660.000000000001,1.10794227979036,73.12653678742208
9,105,0,228.02003789113294,3510.0,1.5032867703093822,98.97220621856353
10,119,0,256.3810608618352,4560.000000000001,2.001654833265766,131.49928999594673
11,130,0,286.1349995358093,5750.000000000002,2.5980967248490074,170.26080349094144
12,141,0,317.1867487027966,7050.0,3.2912379683359165,215.09927810015645
13,155,0,349.43362086701427,8459.999999999998,4.085279924495772,266.26679546974776
14,170,0,382.765107716389,10010.000000000002,4.991969786519688,324.54318719118294
15,178,0,419.18329518694367,11710.0,6.01811453411434,390.3618720468621
16,191,0,457.7052892783373,13490.000000000005,7.1504891078134944,462.7543464688116
17,203,0,496.7825291024694,15400.000000000004,8.402695920069542,542.661755204174
18,209,0,536.2588140093612,17430.0,9.775117872287401,630.082072337246
19,216,0,575.9913066909489,19519.999999999996,11.253613450469906,724.016807028197
20,226,0,613.9408461852385,21680.0,12.836055611107227,824.3633366664366
21,234,0,650.3177691852543,23939.999999999996,14.526030921767713,931.411855306067
22,246,0,692.798211157109,26279.99999999999,16.315460811874487,1044.6276487124733
23,252,0,732.7619784004315,28740.000000000015,18.207341632561207,1164.2904979536759
24,260,0,770.0185527529006,31259.999999999978,20.17897135594773,1288.8882813568678
25,267,0,804.6802682574472,33860.0,22.22736351160816,1418.2918106964935
26,275,0,836.8384453059654,36529.99999999999,24.341207784480474,1551.797467068832
27,285,0,866.5688233323681,39280.00000000002,26.51454106141969,1689.0724636851846
28,294,0,893.9353421960907,42130.000000000015,28.74208189423894,1829.8499136543392
29,302,0,918.9927592939564,45069.999999999985,31.009961977427587,1973.272718645658
30,309,0,941.7884884777286,48090.0,33.307392516796774,2118.6685510078105
31,321,0,962.363941986466,51179.99999999999,35.62481365980797,2265.438819588485
32,330,0,980.7555544192543,54390.00000000002,37.96815836213147,2414.0645017278935
33,343,0,996.9955783582325,57690.00000000003,40.32377989125545,2563.6517934753333
34,353,0,1011.1127089362975,61120.000000000015,42.694357112161555,2714.4614267297
35,362,0,1023.1325802505294,64649.999999999985,45.070622006560576,2865.8623203936404
36,369,0,1033.0781665173438,68270.0,47.44382348987911,3017.304409392754
